Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med,Scenario
UV_85,"[80,85)",RZV_2d,1508497,432332.6357745799,58780.769754324065,117561.53950864813,-3965.675826861021,-1600672.0647933932,526.0624087027669,120.71647960261272,1.33377888164877,1.33377888164877,1.1971993128440048,1.214100139120017,1.3055704083762778,Cont_2d
ZVL_90,"[85,90)",ReRZV_2d,940569,344866.12479836657,46888.65609583177,93777.31219166354,-3063.774951480811,-914958.9864328272,264.6234768010945,117.76594558472841,1.4100859803395487,1.4100859803395487,1.2394043682122613,1.2502744812281592,1.364580119989515,Cont_2d
UV_95,"[85,90)",RZV_2d,940569,595702.8752016334,80992.89910529328,161985.79821058657,-3982.0575370998076,-2011940.3986648256,572.099512058828,114.79878964131682,1.541894687602313,1.541894687602313,1.2942592323894266,1.3284811608443932,1.4943389665265656,Cont_2d
UV_95,"[90,95)",RZV_2d,417138,417138,56714.87809345928,113429.75618691856,-1959.1727941326483,-1171841.367510798,297.17436460594183,111.85791107035837,1.6341930847043322,1.6341930847043322,1.3212478322578294,1.3691052477960792,1.569916147775826,Cont_2d
UV_100,"[95,100)",RZV_2d,109064,109064,14828.549459375658,29657.098918751315,-320.9328132825822,-196338.89671103502,47.29879309928958,110.79065172050679,1.658325224143881,1.658325224143881,1.3256688446913747,1.3755710487278763,1.5825789029869088,Cont_2d
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-39756.4155235023,-7372383.723531081,3741.7962364671394,133.21117931683665,0.502160096755813,0.502160096755813,0.5476648072998446,0.5115079689572009,0.47547730977953645,Boost_1d
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-26957.36724109982,-6350282.858431373,2873.5677018218944,132.75082192249332,0.8951006331645196,0.8951006331645196,0.9190162267124036,0.9043280708363206,0.8850348590195092,Boost_1d
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5878.8231388402055,-1782560.6326640828,699.8617542753475,131.6654486258961,1,1,1,1,1,Boost_1d
ZVL_85,"[80,85)",ReRZV_1d,1508497,1076164.3642254202,256736.72542993142,256736.72542993142,-18091.194757212485,-5376163.373143023,1818.6846078188853,137.01416720917302,1.4178160833803624,1.208908041690181,1.249215392284941,1.2486163358797666,1.3467323179934783,Boost_1d
UV_85,"[80,85)",RZV_1d,1508497,432332.6357745799,76633.20777845594,76633.20777845594,-5185.060348478144,-2031007.7722345062,680.2699962884277,140.3019607206789,1.542529782510277,1.2712648912551385,1.3206422309270878,1.341610048565883,1.4777209029474994,Boost_1d
