Pars,Direction,Thres,Age0,Thres0
C_Hosp,-0.1,46.04266701404205,94,46.63574508824944
C_Hosp,-0.1,41.66389981515819,95,42.23108284998165
C_Hosp,-0.1,36.58714129002365,96,37.07085445362944
C_Hosp,-0.1,30.8656888539413,97,31.293686290374097
C_Hosp,-0.1,23.775763204192636,98,24.095816849677746
C_Hosp,-0.1,14.09585802759965,99,14.2880615026613
C_GP_NonPHN,0.1,130.35082537441914,50,129.79613513535975
C_GP_NonPHN,0.1,132.19815144455265,51,131.628401557625
C_GP_NonPHN,0.1,133.94981783541556,52,133.36286743484885
C_GP_NonPHN,0.1,135.55593659315852,53,134.96529479221297
C_GP_NonPHN,0.1,136.91603487105886,54,136.34940108946063
C_GP_NonPHN,0.1,138.20043393065916,55,137.64208057362285
C_GP_NonPHN,0.1,139.23333132950344,56,138.66574739482928
