Scenario,Year,Agp,Index,A,M,L,U
Sch2d85,2015,60_80,Protection,0.10483555773557705,0.10486728779697024,0.09934367515732359,0.11048104734943238
Sch2d85,2015,60_80,N,9994704,9994704,9994704,9994704
Sch2d85,2015,60_80,N_Uptake_ZVL,571861.9806566028,571861.9806566028,571861.9806566028,571861.9806566028
Sch2d85,2015,60_80,N_Uptake_RZV,0,0,0,0
Sch2d85,2015,60_80,N_Covered_ZVL,571861.9806566028,571861.9806566028,571861.9806566028,571861.9806566028
Sch2d85,2015,60_80,N_Covered_RZV,0,0,0,0
Sch2d85,2015,60_80,N_HZ,64161.86234777176,64181.48292524573,62493.06941721264,65829.29794958355
Sch2d85,2015,60_80,N_HZ_GP,63246.61917542378,63263.498086564185,61596.54816053882,64930.78638708591
Sch2d85,2015,60_80,N_HZ_Hosp,915.2431723479779,911.2150479036281,778.8579164338345,1074.244103554646
Sch2d85,2015,60_80,N_HZ_PHN,3634.0264389051063,3632.197898005271,3359.0876850023933,3931.3326936766216
Sch2d85,2015,60_80,N_HZ_PHN_GP,3574.701489407764,3571.2548401073923,3305.810351323159,3868.3966132881023
Sch2d85,2015,60_80,N_HZ_Death,0.05948683336466335,0.0595054451105116,0.04859961389252884,0.07134130011766103
Sch2d85,2015,60_80,Coverage_ZVL,0.05721649992402004,0.05721649992402004,0.05721649992402004,0.05721649992402004
Sch2d85,2015,60_80,Coverage_RZV,0,0,0,0
Sch2d85,2015,60_80,Coverage,0.05721649992402004,0.05721649992402004,0.05721649992402004,0.05721649992402004
Sch2d85,2015,60_80,IncR_HZ,0.0064195860475479575,0.006421549144951739,0.006252618328387979,0.006586417961910983
Sch2d85,2015,60_80,IncR_HZ_Hosp,9.157281419719663e-5,9.116978831025192e-5,7.792706181532083e-5,1.0748133246914025e-4
Sch2d85,2015,60_80,IncR_HZ_PHN,3.6359520391050163e-4,3.6341225292967864e-4,3.360867600483609e-4,3.9334158307005606e-4
Sch2d85,2015,60_80,MorR_HZ,5.951835428509273e-9,5.95369758929445e-9,4.862536588630224e-9,7.137910249033993e-9
Sch2d85,2015,80+,Protection,0.023219862032379267,0.023221353886783043,0.021703821966004233,0.024817881878258116
Sch2d85,2015,80+,N,2621589,2621589,2621589,2621589
Sch2d85,2015,80+,N_Uptake_ZVL,0,0,0,0
Sch2d85,2015,80+,N_Uptake_RZV,0,0,0,0
Sch2d85,2015,80+,N_Covered_ZVL,0,0,0,0
Sch2d85,2015,80+,N_Covered_RZV,0,0,0,0
Sch2d85,2015,80+,N_HZ,24180.90339247763,24171.38145452385,23472.094521436135,24918.858036826357
Sch2d85,2015,80+,N_HZ_GP,22588.56442515662,22581.18791665232,21871.543435886175,23332.654619824574
Sch2d85,2015,80+,N_HZ_Hosp,1592.3389673210113,1586.4661592296898,1344.2066250046482,1872.7854825409202
Sch2d85,2015,80+,N_HZ_PHN,2184.6015361239165,2182.501086925203,1973.5034810665068,2417.6310206230814
Sch2d85,2015,80+,N_HZ_PHN_GP,2042.3361210383216,2040.7111899960103,1841.404994069667,2259.4775052967134
Sch2d85,2015,80+,N_HZ_Death,0.32376725145648894,0.3245281326464561,0.2763274732648448,0.37633390699647973
Sch2d85,2015,80+,Coverage_ZVL,0,0,0,0
Sch2d85,2015,80+,Coverage_RZV,0,0,0,0
Sch2d85,2015,80+,Coverage,0,0,0,0
Sch2d85,2015,80+,IncR_HZ,0.009223758336061691,0.009220126211440409,0.00895338457761157,0.009505249692772725
Sch2d85,2015,80+,IncR_HZ_Hosp,6.073945867643675e-4,6.05154415596682e-4,5.127449897770583e-4,7.143703618457814e-4
Sch2d85,2015,80+,IncR_HZ_PHN,8.33311986022186e-4,8.325107737807881e-4,7.527890455241102e-4,9.222006274145495e-4
Sch2d85,2015,80+,MorR_HZ,1.235003852459287e-7,1.2379062188865456e-7,1.0540457457856469e-7,1.43551833257036e-7
Sch2d85,2016,60_80,Protection,0.1186043436897251,0.11870765476935918,0.11220417775607358,0.1253746896952982
Sch2d85,2016,60_80,N,10140363,10140363,10140363,10140363
Sch2d85,2016,60_80,N_Uptake_ZVL,532513.4856430512,532513.4856430512,532513.4856430512,532513.4856430512
Sch2d85,2016,60_80,N_Uptake_RZV,0,0,0,0
Sch2d85,2016,60_80,N_Covered_ZVL,532513.4856430512,532513.4856430512,532513.4856430512,532513.4856430512
Sch2d85,2016,60_80,N_Covered_RZV,0,0,0,0
Sch2d85,2016,60_80,N_HZ,64018.81330224833,64029.504218403694,62301.73689108671,65726.25431683405
Sch2d85,2016,60_80,N_HZ_GP,63111.52857683634,63118.0483052974,61419.27553453919,64816.84282651794
Sch2d85,2016,60_80,N_HZ_Hosp,907.2847254119913,903.6330602300789,769.8762055345175,1066.073736609219
Sch2d85,2016,60_80,N_HZ_PHN,3615.723248395158,3612.141478158317,3346.496877981092,3912.202352985678
Sch2d85,2016,60_80,N_HZ_PHN_GP,3557.1357820722083,3553.0204072257707,3288.0688353655264,3851.323141007714
Sch2d85,2016,60_80,N_HZ_Death,0.05682220009011963,0.05686744498046373,0.04621436559819976,0.0682487627616465
Sch2d85,2016,60_80,Coverage_ZVL,0.0525142428967337,0.0525142428967337,0.0525142428967337,0.0525142428967337
Sch2d85,2016,60_80,Coverage_RZV,0,0,0,0
Sch2d85,2016,60_80,Coverage,0.0525142428967337,0.0525142428967337,0.0525142428967337,0.0525142428967337
Sch2d85,2016,60_80,IncR_HZ,0.00631326642865234,0.006314320721891682,0.006143935566319145,0.006481647088652945
Sch2d85,2016,60_80,IncR_HZ_Hosp,8.947260817112674e-5,8.911249629131411e-5,7.592195718580462e-5,1.0513171339223448e-4
Sch2d85,2016,60_80,IncR_HZ_PHN,3.565674373190741e-4,3.562142181851199e-4,3.3001746367275925e-4,3.8580496112276043e-4
Sch2d85,2016,60_80,MorR_HZ,5.60356666621497e-9,5.60802852722962e-9,4.557466591501681e-9,6.730406274572863e-9
Sch2d85,2016,80+,Protection,0.039621352154650145,0.039584473308095273,0.03689665499938326,0.04264304078196115
Sch2d85,2016,80+,N,2673451,2673451,2673451,2673451
Sch2d85,2016,80+,N_Uptake_ZVL,0,0,0,0
Sch2d85,2016,80+,N_Uptake_RZV,0,0,0,0
Sch2d85,2016,80+,N_Covered_ZVL,0,0,0,0
Sch2d85,2016,80+,N_Covered_RZV,0,0,0,0
Sch2d85,2016,80+,N_HZ,24239.466672853483,24227.320570828604,23530.363649388983,24972.59583127215
Sch2d85,2016,80+,N_HZ_GP,22632.27417132105,22629.694103647696,21895.27815610596,23391.358829163106
Sch2d85,2016,80+,N_HZ_Hosp,1607.1925015324357,1602.4910222831522,1356.4604726359673,1887.936664481063
Sch2d85,2016,80+,N_HZ_PHN,2189.0103879331177,2187.1840928754286,1976.7520058635293,2421.8781416139113
Sch2d85,2016,80+,N_HZ_PHN_GP,2045.4887441780975,2044.4497689634745,1842.6521884571207,2262.4119601752977
Sch2d85,2016,80+,N_HZ_Death,0.32660945861839746,0.3272840071707013,0.2786564070394605,0.3800224950741785
Sch2d85,2016,80+,Coverage_ZVL,0,0,0,0
Sch2d85,2016,80+,Coverage_RZV,0,0,0,0
Sch2d85,2016,80+,Coverage,0,0,0,0
Sch2d85,2016,80+,IncR_HZ,0.00906673309997209,0.0090621898702570591,0.008801494266919044,0.009340958869742571
Sch2d85,2016,80+,IncR_HZ_Hosp,6.011677421925577e-4,5.994091615231221e-4,5.073818344289712e-4,7.061796399040279e-4
Sch2d85,2016,80+,IncR_HZ_PHN,8.187957766695996e-4,8.18112653972498e-4,7.394008739503845e-4,9.058995813328583e-4
Sch2d85,2016,80+,MorR_HZ,1.2216773698803437e-7,1.224200507773291e-7,1.0423097600796142e-7,1.4214679643433841e-7
Sch2d85,2017,60_80,Protection,0.13131047143266206,0.13136351383174621,0.12408065382194176,0.13907237449787846
Sch2d85,2017,60_80,N,10291521,10291521,10291521,10291521
Sch2d85,2017,60_80,N_Uptake_ZVL,569958.9160954431,569958.9160954431,569958.9160954431,569958.9160954431
Sch2d85,2017,60_80,N_Uptake_RZV,0,0,0,0
Sch2d85,2017,60_80,N_Covered_ZVL,569958.9160954431,569958.9160954431,569958.9160954431,569958.9160954431
Sch2d85,2017,60_80,N_Covered_RZV,0,0,0,0
Sch2d85,2017,60_80,N_HZ,63984.52334471531,63998.4033603783,62214.548872099134,65713.52804065195
Sch2d85,2017,60_80,N_HZ_GP,63080.44112881808,63103.51343489751,61294.051458839225,64788.10638996072
Sch2d85,2017,60_80,N_HZ_Hosp,904.0822158972326,899.1240411641716,768.7162262550985,1059.6097158938294
Sch2d85,2017,60_80,N_HZ_PHN,3608.4223657125945,3603.516185575044,3339.346245243461,3907.1562376873385
Sch2d85,2017,60_80,N_HZ_PHN_GP,3550.154298103198,3544.4543377911587,3284.8757434328863,3845.776368713986
Sch2d85,2017,60_80,N_HZ_Death,0.05508887417089945,0.0551164844775827,0.04468906927548886,0.06632511850659048
Sch2d85,2017,60_80,Coverage_ZVL,0.05538140728619638,0.05538140728619638,0.05538140728619638,0.05538140728619638
Sch2d85,2017,60_80,Coverage_RZV,0,0,0,0
Sch2d85,2017,60_80,Coverage,0.05538140728619638,0.05538140728619638,0.05538140728619638,0.05538140728619638
Sch2d85,2017,60_80,IncR_HZ,0.0062172076746202344,0.0062185563591988305,0.006045223915114115,0.006385210508791844
Sch2d85,2017,60_80,IncR_HZ_Hosp,8.784728864637526e-5,8.736551586147194e-5,7.469413182513046e-5,1.0295948634743393e-4
Sch2d85,2017,60_80,IncR_HZ_PHN,3.5062090100312617e-4,3.50144180396177e-4,3.2447548280214956e-4,3.7964808483482065e-4
Sch2d85,2017,60_80,MorR_HZ,5.352840864911945e-9,5.3555236857197976e-9,4.342319203885301e-9,6.444637144168532e-9
