Scenario,Year,Agp,Index,A,M,L,U
Sch2d85,2040,80+,N_HZ,14388.596541062025,14354.34192292509,9553.250574814505,20163.507054434816
Sch2d85,2040,80+,N_HZ_GP,13373.017033370557,13325.608801906445,8931.003174752715,18758.912314590332
Sch2d85,2040,80+,N_HZ_Hosp,1015.5795076914671,1004.8033243017944,667.3523420483348,1472.1263260693079
Sch2d85,2040,80+,N_HZ_PHN,1293.3936581669554,1276.181925605135,831.0314676700734,1819.2259158069894
Sch2d85,2040,80+,N_HZ_PHN_GP,1203.1388908200329,1185.5249763941035,778.2632882605718,1696.284487190129
Sch2d85,2040,80+,N_HZ_Death,0.08769496716805694,0.08357152908233989,0.0439291732905655,0.15762235526871998
Sch2d85,2040,80+,Coverage_ZVL,0,0,0,0
Sch2d85,2040,80+,Coverage_RZV,0.006642869688050041,0.0066279345331144175,0.0060214892419313505,0.00729422247911978
Sch2d85,2040,80+,Coverage,0.006642869688050041,0.0066279345331144175,0.0060214892419313505,0.00729422247911978
Sch2d85,2040,80+,IncR_HZ,0.0032184357952396558,0.003210773735298677,0.00213686745077136,0.004510165579830097
Sch2d85,2040,80+,IncR_HZ_Hosp,2.2716443755568886e-4,2.2475402495857326e-4,1.4927311774681586e-4,3.2928465604098445e-4
Sch2d85,2040,80+,IncR_HZ_PHN,2.8930580094458904e-4,2.8545588715925426e-4,1.858848022381547e-4,4.0692376010069826e-4
Sch2d85,2040,80+,MorR_HZ,1.9615576862592928e-8,1.869324780175273e-8,9.826060753747866e-9,3.525690840514641e-8
Sch2d85,2041,60_80,Protection,0.6453269896402992,0.6478363540752229,0.5657620231642156,0.7112113860468702
Sch2d85,2041,60_80,N,13135755,13135755,13135754.999999998,13135755.000000002
Sch2d85,2041,60_80,N_Uptake_ZVL,0,0,0,0
Sch2d85,2041,60_80,N_Uptake_RZV,1446233.0192322417,1446606.015328037,1436570.8394863913,1454478.398551207
Sch2d85,2041,60_80,N_Covered_ZVL,0,0,0,0
Sch2d85,2041,60_80,N_Covered_RZV,723116.5096161208,723303.0076640185,718285.4197431956,727239.1992756035
Sch2d85,2041,60_80,N_HZ,33968.17896246616,33895.3280575035,26827.330912006946,41740.3267723408
Sch2d85,2041,60_80,N_HZ_GP,33445.40137382794,33374.59288269727,26463.116962823042,41065.75321464427
Sch2d85,2041,60_80,N_HZ_Hosp,522.7775886382192,515.0067045603784,364.1415672689747,718.9615802385313
Sch2d85,2041,60_80,N_HZ_PHN,1994.7247749212113,1968.9832498707806,1545.8002225191126,2575.471469406176
Sch2d85,2041,60_80,N_HZ_PHN_GP,1959.5547870094354,1937.1249520930621,1523.236250000715,2523.243587637604
Sch2d85,2041,60_80,N_HZ_Death,0.014757164117093446,0.013862537556772372,0.0073368096712426185,0.027206993353247215
Sch2d85,2041,60_80,Coverage_ZVL,0,0,0,0
Sch2d85,2041,60_80,Coverage_RZV,0.0550494820903801,0.05506367983142335,0.05468170042324903,0.05536333459900885
Sch2d85,2041,60_80,Coverage,0.0550494820903801,0.05506367983142335,0.05468170042324903,0.05536333459900885
Sch2d85,2041,60_80,IncR_HZ,0.0025859327432999593,0.002580386742711287,0.0020423135870002865,0.0031776115474398533
Sch2d85,2041,60_80,IncR_HZ_Hosp,3.9798061751168416e-5,3.92064791525404e-5,2.7721403700737015e-5,5.473317523343966e-5
Sch2d85,2041,60_80,IncR_HZ_PHN,1.5185459647513305e-4,1.498949432195394e-4,1.1767882565707967e-4,1.9606573580324666e-4
Sch2d85,2041,60_80,MorR_HZ,1.1234347867399662e-9,1.0553285712752995e-9,5.585373411153464e-10,2.071216565263833e-9
Sch2d85,2041,80+,Protection,0.6572348394301578,0.6558112578897035,0.5130734736726172,0.7804372331429239
Sch2d85,2041,80+,N,4576810,4576810,4576809.999999999,4576810.000000001
Sch2d85,2041,80+,N_Uptake_ZVL,0,0,0,0
Sch2d85,2041,80+,N_Uptake_RZV,56617.99156354709,56487.552889479965,50460.62275046532,62787.60615016363
Sch2d85,2041,80+,N_Covered_ZVL,0,0,0,0
Sch2d85,2041,80+,N_Covered_RZV,28308.995781773545,28243.776444739982,25230.31137523266,31393.803075081814
Sch2d85,2041,80+,N_HZ,14746.119717680278,14770.649148745488,9357.208459507803,21117.475157195833
Sch2d85,2041,80+,N_HZ_GP,13714.435553111298,13726.612712028029,8748.79449279038,19655.833741870392
Sch2d85,2041,80+,N_HZ_Hosp,1031.6841645689806,1015.6649377996281,653.0373501726209,1526.1062380668322
Sch2d85,2041,80+,N_HZ_PHN,1325.453455008033,1303.8790650663873,824.895098113378,1893.4906060315536
